m,TagName,
"2010-12-01 00:00:00","javascript","4952"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5351"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7976"
"2011-01-01 00:00:00","c++","3482"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6528"
"2011-01-01 00:00:00","javascript","5415"
"2011-01-01 00:00:00","perl","476"
"2011-01-01 00:00:00","php","6378"
"2011-01-01 00:00:00","python","2897"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","c#","8204"
"2011-02-01 00:00:00","c++","3434"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6851"
"2011-02-01 00:00:00","javascript","5590"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6667"
"2011-02-01 00:00:00","python","3006"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9965"
"2011-03-01 00:00:00","c++","4165"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8448"
"2011-03-01 00:00:00","javascript","6755"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8041"
"2011-03-01 00:00:00","python","3741"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9250"
"2011-04-01 00:00:00","c++","4159"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7880"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7571"
"2011-04-01 00:00:00","python","3326"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1821"
"2011-05-01 00:00:00","c#","9963"
"2011-05-01 00:00:00","c++","3863"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8524"
"2011-05-01 00:00:00","javascript","7286"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8037"
"2011-05-01 00:00:00","python","3510"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1563"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1760"
"2011-06-01 00:00:00","c#","9714"
"2011-06-01 00:00:00","c++","3797"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7655"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7976"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1554"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1655"
"2011-07-01 00:00:00","c#","9555"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","427"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8119"
"2011-07-01 00:00:00","javascript","8074"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8590"
"2011-07-01 00:00:00","python","3647"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1823"
"2011-08-01 00:00:00","c#","9999"
"2011-08-01 00:00:00","c++","3943"
"2011-08-01 00:00:00","delphi","421"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8629"
"2011-08-01 00:00:00","javascript","8862"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8833"
"2011-08-01 00:00:00","python","3814"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1915"
"2011-09-01 00:00:00","c#","9235"
"2011-09-01 00:00:00","c++","3922"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8276"
"2011-09-01 00:00:00","javascript","8134"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7980"
"2011-09-01 00:00:00","python","3507"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2137"
"2011-10-01 00:00:00","c#","9149"
"2011-10-01 00:00:00","c++","4330"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8495"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","7959"
"2011-10-01 00:00:00","python","3599"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9834"
"2011-11-01 00:00:00","c++","4448"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9562"
"2011-11-01 00:00:00","javascript","8597"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8591"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","1998"
"2011-12-01 00:00:00","c#","9240"
"2011-12-01 00:00:00","c++","4327"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9108"
"2011-12-01 00:00:00","javascript","8263"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8252"
"2011-12-01 00:00:00","python","3603"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1663"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2214"
"2012-01-01 00:00:00","c#","10309"
"2012-01-01 00:00:00","c++","4509"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10046"
"2012-01-01 00:00:00","javascript","9522"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9168"
"2012-01-01 00:00:00","python","4175"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1881"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10660"
"2012-02-01 00:00:00","c++","5071"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10852"
"2012-02-01 00:00:00","javascript","9889"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9780"
"2012-02-01 00:00:00","python","4468"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2704"
"2012-03-01 00:00:00","c#","11458"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12252"
"2012-03-01 00:00:00","javascript","10601"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10732"
"2012-03-01 00:00:00","python","4998"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","275"
"2012-04-01 00:00:00","c","2655"
"2012-04-01 00:00:00","c#","10985"
"2012-04-01 00:00:00","c++","5259"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11896"
"2012-04-01 00:00:00","javascript","10568"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10246"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c","2465"
"2012-05-01 00:00:00","c#","11451"
"2012-05-01 00:00:00","c++","4954"
"2012-05-01 00:00:00","delphi","477"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12072"
"2012-05-01 00:00:00","javascript","11423"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10808"
"2012-05-01 00:00:00","python","5057"
"2012-05-01 00:00:00","r","872"
"2012-05-01 00:00:00","ruby","1957"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2302"
"2012-06-01 00:00:00","c#","11280"
"2012-06-01 00:00:00","c++","4629"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","11058"
"2012-06-01 00:00:00","javascript","11188"
"2012-06-01 00:00:00","perl","739"
"2012-06-01 00:00:00","php","10491"
"2012-06-01 00:00:00","python","5258"
"2012-06-01 00:00:00","r","972"
"2012-06-01 00:00:00","ruby","1884"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2365"
"2012-07-01 00:00:00","c#","12282"
"2012-07-01 00:00:00","c++","5258"
"2012-07-01 00:00:00","delphi","438"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12211"
"2012-07-01 00:00:00","javascript","12293"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11670"
"2012-07-01 00:00:00","python","5714"
"2012-07-01 00:00:00","r","1117"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2313"
"2012-08-01 00:00:00","c#","11923"
"2012-08-01 00:00:00","c++","5153"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12224"
"2012-08-01 00:00:00","javascript","12410"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11821"
"2012-08-01 00:00:00","python","5853"
"2012-08-01 00:00:00","r","1087"
"2012-08-01 00:00:00","ruby","2056"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2524"
"2012-09-01 00:00:00","c#","11251"
"2012-09-01 00:00:00","c++","4899"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11586"
"2012-09-01 00:00:00","javascript","11146"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10925"
"2012-09-01 00:00:00","python","5243"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3149"
"2012-10-01 00:00:00","c#","12697"
"2012-10-01 00:00:00","c++","5896"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13452"
"2012-10-01 00:00:00","javascript","12394"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11704"
"2012-10-01 00:00:00","python","6120"
"2012-10-01 00:00:00","r","1266"
